==4512== Lackey, an example Valgrind tool
==4512== Copyright (C) 2002-2015, and GNU GPL'd, by Nicholas Nethercote.
==4512== Using Valgrind-3.11.0 and LibVEX; rerun with -h for copyright info
==4512== Command: ./quicksort
I  04001b22,3
I  04001b25,2
I  04001b27,5
 L 04225f18,8
I  04001b2c,6
I  04001b32,7
 L 04226a50,8
I  04001b39,3
I  04001b3c,2
I  04001b3e,7
 L 04226a60,8
I  04001b45,5
 L 04225f58,8
I  04001b4a,6
I  04001b50,7
 L 04226b48,8
I  04001b57,3
I  04001b5a,2
I  04001b6a,7
 L 04226b08,8
I  04001b71,3
I  04001b74,2
I  04001b84,8
 L 04226b00,8
I  04001b8c,6
I  04001b92,8
 L 04226a90,8
I  04001b9a,6
I  04001ba0,3
I  04001ba3,6
I  04001cb0,3
I  04001cb3,6
I  04001cb9,4
 L 04225f38,8
I  04001cbd,7
 L 04226a58,8
I  04001cc4,4
 L 04225f48,8
I  04001cc8,7
 L 04226b58,8
I  04001ccf,3
I  04001cd2,4
I  04001cd6,6
I  04001cdc,4
 L 04225f98,8
I  04001ce0,4
I  04001ce4,4
I  04001ce8,3
I  04001ceb,3
I  04001cee,2
I  04001cf0,7
 L 04226a28,8
I  04001cf7,7
 L 04226ad0,8
I  04001cfe,4
 L 04225f08,8
I  04001d02,3
I  04001d05,4
 L 04225f28,8
I  04001d09,3
I  04001d0c,3
I  04001d0f,3
I  04001d12,4
I  04001d16,4
I  04001d1a,3
I  04001d1d,7
 L 04226a48,8
I  04001d24,3
I  04001d27,4
 L 04225ec8,8
I  04001d2b,2
I  04001d2d,3
I  04001d30,3
I  04001d33,3
 L 040008d8,8
I  04001d36,4
 L 040008e0,4
I  04001d3a,6
I  04001d40,3
I  04001d43,4
 L 040008e8,8
I  04001d47,4
I  04001d4b,3
I  04001d4e,3
 S 04225db8,8
I  04001d51,2
I  04001d30,3
I  04001d33,3
 L 040008f0,8
I  04001d36,4
 L 040008f8,4
I  04001d3a,6
I  04001d40,3
I  04001d43,4
 L 04000900,8
I  04001d47,4
I  04001d4b,3
I  04001d4e,3
 S 04225dc0,8
I  04001d51,2
I  04001d30,3
I  04001d33,3
 L 04000908,8
I  04001d36,4
 L 04000910,4
I  04001d3a,6
I  04001d40,3
I  04001d43,4
 L 04000918,8
I  04001d47,4
I  04001d4b,3
I  04001d4e,3
 S 04225dc8,8
I  04001d51,2
I  04001d30,3
I  04001d33,3
 L 04000920,8
I  04001d36,4
 L 04000928,4
I  04001d3a,6
I  04001d40,3
I  04001d43,4
 L 04000930,8
I  04001d47,4
I  04001d4b,3
I  04001d4e,3
 S 04225dd0,8
I  04001d51,2
I  04001d30,3
I  04001d33,3
 L 04000938,8
I  04001d36,4
 L 04000940,4
I  04001d3a,6
I  04001d40,3
I  04001d43,4
 L 04000948,8
I  04001d47,4
I  04001d4b,3
I  04001d4e,3
 S 04225dd8,8
I  04001d51,2
I  04001d30,3
I  04001d33,3
 L 04000950,8
I  04001d36,4
 L 04000958,4
I  04001d3a,6
I  04001d40,3
I  04001d43,4
 L 04000960,8
I  04001d47,4
I  04001d4b,3
I  04001d4e,3
 S 04225de0,8
I  04001d51,2
I  04001d30,3
I  04001d33,3
 L 04000968,8
I  04001d36,4
 L 04000970,4
I  04001d3a,6
I  04001d40,3
I  04001d43,4
 L 04000978,8
I  04001d47,4
I  04001d4b,3
I  04001d4e,3
 S 04225de8,8
I  04001d51,2
I  04001d30,3
I  04001d33,3
 L 04000980,8
I  04001d36,4
 L 04000988,4
